Back|Object|56|..\..\..\Desktop\MapTool\Image\Texture\Back\Object\Back%d.png
DocuGawa|Attack_1|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Attack_1\DocuGawa%d.png
DocuGawa|Attack_2|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Attack_2\DocuGawa%d.png
DocuGawa|Attack_3|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Attack_3\DocuGawa%d.png
DocuGawa|Attack_4|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Attack_4\DocuGawa%d.png
DocuGawa|Attack_5|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Attack_5\DocuGawa%d.png
DocuGawa|Die|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Die\DocuGawa%d.png
DocuGawa|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Stand_1\DocuGawa%d.png
DocuGawa|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Stand_2\DocuGawa%d.png
DocuGawa|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Stand_3\DocuGawa%d.png
DocuGawa|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Stand_4\DocuGawa%d.png
DocuGawa|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Stand_5\DocuGawa%d.png
DocuGawa|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Walk_1\DocuGawa%d.png
DocuGawa|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Walk_2\DocuGawa%d.png
DocuGawa|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Walk_3\DocuGawa%d.png
DocuGawa|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Walk_4\DocuGawa%d.png
DocuGawa|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\DocuGawa\Walk_5\DocuGawa%d.png
Gato|Attack_1|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Attack_1\Gato%d.png
Gato|Attack_2|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Attack_2\Gato%d.png
Gato|Attack_3|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Attack_3\Gato%d.png
Gato|Attack_4|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Attack_4\Gato%d.png
Gato|Attack_5|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Attack_5\Gato%d.png
Gato|Die|6|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Die\Gato%d.png
Gato|Skill_1|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Skill_1\Gato%d.png
Gato|Skill_2|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Skill_2\Gato%d.png
Gato|Skill_3|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Skill_3\Gato%d.png
Gato|Skill_4|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Skill_4\Gato%d.png
Gato|Skill_5|10|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Skill_5\Gato%d.png
Gato|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Stand_1\Gato%d.png
Gato|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Stand_2\Gato%d.png
Gato|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Stand_3\Gato%d.png
Gato|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Stand_4\Gato%d.png
Gato|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Stand_5\Gato%d.png
Gato|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Walk_1\Gato%d.png
Gato|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Walk_2\Gato%d.png
Gato|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Walk_3\Gato%d.png
Gato|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Walk_4\Gato%d.png
Gato|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\Gato\Walk_5\Gato%d.png
GoniSh|Attack_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Attack_1\GoniSh%d.png
GoniSh|Attack_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Attack_2\GoniSh%d.png
GoniSh|Attack_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Attack_3\GoniSh%d.png
GoniSh|Attack_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Attack_4\GoniSh%d.png
GoniSh|Attack_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Attack_5\GoniSh%d.png
GoniSh|Die|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Die\GoniSh%d.png
GoniSh|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Stand_1\GoniSh%d.png
GoniSh|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Stand_2\GoniSh%d.png
GoniSh|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Stand_3\GoniSh%d.png
GoniSh|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Stand_4\GoniSh%d.png
GoniSh|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Stand_5\GoniSh%d.png
GoniSh|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Walk_1\GoniSh%d.png
GoniSh|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Walk_2\GoniSh%d.png
GoniSh|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Walk_3\GoniSh%d.png
GoniSh|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Walk_4\GoniSh%d.png
GoniSh|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\GoniSh\Walk_5\GoniSh%d.png
HonGanji|Attack_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Attack_1\HonGanji%d.png
HonGanji|Attack_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Attack_2\HonGanji%d.png
HonGanji|Attack_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Attack_3\HonGanji%d.png
HonGanji|Attack_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Attack_4\HonGanji%d.png
HonGanji|Attack_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Attack_5\HonGanji%d.png
HonGanji|Die|20|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Die\HonGanji%d.png
HonGanji|Stand_1|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Stand_1\HonGanji%d.png
HonGanji|Stand_2|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Stand_2\HonGanji%d.png
HonGanji|Stand_3|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Stand_3\HonGanji%d.png
HonGanji|Stand_4|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Stand_4\HonGanji%d.png
HonGanji|Stand_5|12|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Stand_5\HonGanji%d.png
HonGanji|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Walk_1\HonGanji%d.png
HonGanji|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Walk_2\HonGanji%d.png
HonGanji|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Walk_3\HonGanji%d.png
HonGanji|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Walk_4\HonGanji%d.png
HonGanji|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HonGanji\Walk_5\HonGanji%d.png
HorseSwordJ|Attack_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Attack_1\HorseSwordJ%d.png
HorseSwordJ|Attack_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Attack_2\HorseSwordJ%d.png
HorseSwordJ|Attack_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Attack_3\HorseSwordJ%d.png
HorseSwordJ|Attack_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Attack_4\HorseSwordJ%d.png
HorseSwordJ|Attack_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Attack_5\HorseSwordJ%d.png
HorseSwordJ|Die|11|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Die\HorseSwordJ%d.png
HorseSwordJ|Stand_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Stand_1\HorseSwordJ%d.png
HorseSwordJ|Stand_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Stand_2\HorseSwordJ%d.png
HorseSwordJ|Stand_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Stand_3\HorseSwordJ%d.png
HorseSwordJ|Stand_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Stand_4\HorseSwordJ%d.png
HorseSwordJ|Stand_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Stand_5\HorseSwordJ%d.png
HorseSwordJ|Walk_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Walk_1\HorseSwordJ%d.png
HorseSwordJ|Walk_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Walk_2\HorseSwordJ%d.png
HorseSwordJ|Walk_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Walk_3\HorseSwordJ%d.png
HorseSwordJ|Walk_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Walk_4\HorseSwordJ%d.png
HorseSwordJ|Walk_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\HorseSwordJ\Walk_5\HorseSwordJ%d.png
SeiShow|Attack_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Attack_1\SeiShow%d.png
SeiShow|Attack_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Attack_2\SeiShow%d.png
SeiShow|Attack_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Attack_3\SeiShow%d.png
SeiShow|Attack_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Attack_4\SeiShow%d.png
SeiShow|Attack_5|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Attack_5\SeiShow%d.png
SeiShow|Die|13|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Die\SeiShow%d.png
SeiShow|Skill_1|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Skill_1\SeiShow%d.png
SeiShow|Skill_2|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Skill_2\SeiShow%d.png
SeiShow|Skill_3|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Skill_3\SeiShow%d.png
SeiShow|Skill_4|8|..\..\..\Desktop\MapTool\Image\Texture\EnemyUnit\SeiShow\Skill_4\SeiShow%d.png
